"geoid","total"
"36059300600",16
"36061001002",1107
"36061008700",77786
"36081155102",16
"36047027500",131
"36059519200",4
"36005004600",5
"36061005502",79862
"36081071306",188
"36047043700",46
"36047096400",2
"36047080800",16
"36047025902",36
"36047012000",55
"36103111503",1
"36081052500",8
"36119007500",5
"36047007600",39
"36119002204",10
"36005042100",41
"36005037400",4
"36047079602",172
"36047032500",187
"36047029300",66
"36059409800",14
"36081068200",2
"36119012301",1
"36081016400",2
"36081010400",18
"36119006100",2
"36081039800",4
"36047094401",8
"36005038500",14
"36005006400",10
"36059302501",1
"36005002800",40
"36061015200",28588
"36059517400",3
"36047059800",3
"36085014100",3
"36047055300",10427
"36081029400",47
"36047049200",135
"36081129102",5
"36047079400",88
"36081011000",16
"36081120500",11
"36061015002",51743
"36081071701",604
"36085017011",1
"36047107800",7
"36005042600",4
"36061029300",91
"36047033000",3
"36061007900",132897
"36059411902",2
"36047033700",221
"36081047000",3
"36103158007",11
"36081060701",15
"36005004300",46
"36081032900",266
"36047019000",5
"36047051200",36
"36005014701",11
"36047078800",29
"36081011500",1534
"36081015801",23
"36081038302",1727
"36005019400",11
"36059412302",2
"36081080301",29
"36005038302",15
"36047036001",3
"36047056500",2229
"36059405200",1
"36047081000",23
"36005016100",10
"36081146300",2
"36085029103",1
"36061021900",4587
"36119007100",12
"36119005701",1
"36047035500",43
"36081147900",6
"36081073700",150
"36047079802",389
"36103145605",1
"36047019100",1285
"36061010000",148930
"36081056400",2
"36061015802",9901
"36061004800",61222
"36005037200",2
"36047066200",9
"36047006000",56
"36005040303",13
"36087013002",1
"36047037300",62
"36061019900",19278
"36047026200",2
"36081017000",8
"36081157102",42
"36081076901",72
"36047033100",32
"36081019900",1262
"36061005400",83565
"36081045000",34
"36119008901",5
"36059408000",1
"36081014400",49
"36085007000",5
"36081058300",31
"36081054000",6
"36087010503",1
"36081056500",4
"36085022600",1
"36047005900",684
"36047080400",31
"36095740600",1
"36047034100",64
"36081002400",5
"36119000300",2
"36081161700",5
"36081137700",4
"36081047500",177
"36059404800",5
"36005027300",15
"36005007700",9
"36085027302",2
"36059410900",13
"36059518700",5
"36047027100",175
"36047030700",111
"36005018301",40
"36081157903",4
"36119004700",6
"36081045200",9
"36081074500",98
"36059301000",1
"36005005400",18
"36047039900",91
"36081079200",661
"36081040000",1
"36047026900",159
"36047051400",81
"36119009400",18
"36061008400",81393
"36061003100",29683
"36061003900",67440
"36047045400",15
"36081050500",28
"36005043000",4
"36059412301",7
"36005022000",17
"36047059200",18
"36005038700",13
"36047036700",19
"36059411600",8
"36103110102",2
"36005032400",2
"36005026601",4
"36081066701",14
"36061014602",38922
"36081091800",1
"36059411500",4
"36059410200",1
"36059518800",1
"36047017200",6
"36047005800",36
"36047029900",58
"36081084900",50
"36081039900",80
"36081026600",2
"36005025300",11
"36005039700",28
"36061024302",122
"36061027100",605
"36061029700",69
"36005041400",4
"36059518400",3
"36081081800",42
"36047093600",2
"36005022403",10
"36061023400",375
"36047002200",47
"36005016300",7
"36047083400",12
"36059410800",4
