"geoid","total"
"36047080400",34
"36047034100",114
"36081002400",4
"36119000300",2
"36059414301",1
"36081161700",5
"36081137700",10
"36103147004",1
"36081047500",183
"36059404800",4
"36005027300",16
"36005007700",14
"36059410900",39
"36059518700",4
"36047027100",245
"36047030700",70
"36005018301",63
"36119004700",11
"36081157903",6
"36081045200",6
"36081074500",94
"36059301000",2
"36005005400",16
"36047039900",105
"36081079200",540
"36047026900",216
"36047051400",68
"36119009400",13
"36061008400",89627
"36061003100",32172
"36061003900",71371
"36005038800",2
"36047045400",17
"36103990100",6
"36081050500",41
"36059412301",9
"36005022000",41
"36047059200",5
"36005038700",22
"36047036700",34
"36059411600",3
"36103110102",1
"36005026601",9
"36005032400",3
"36081066701",22
"36061014602",44292
"36059408900",2
"36059411500",2
"36059519900",4
"36033950300",1
"36059410200",1
"36047017200",9
"36047005800",38
"36047029900",77
"36081084900",22
"36081039900",35
"36005025300",29
"36061024302",106
"36005039700",59
"36061027100",722
"36061029700",68
"36005041400",5
"36119010902",1
"36059518400",1
"36081081800",36
"36047093600",2
"36005022403",21
"36061023400",391
"36047002200",37
"36005016300",4
"36047083400",2
"36059410800",1
"36047021900",651
"36081001200",11
"36119007000",8
"36081013000",10
"36119011102",1
"36059520600",1
"36081045800",24
"36081026000",2
"36081018402",3
"36047037900",36
"36119013301",2
"36005045102",6
"36081003100",2026
"36047054500",68
"36103135205",5
"36061029900",64
"36081044400",11
"36047085600",16
"36081134700",47
"36119001102",1
"36047007200",22
"36005022200",33
"36005035800",21
"36081066501",12
"36005040702",11
"36081108500",5
"36047021300",298
"36081012601",7
"36061003601",25942
"36047030200",4
"36081119300",1
"36119010702",1
"36061018900",19602
"36047046800",2
"36081042700",18
"36059302300",1
"36119011700",2
"36005021200",15
"36081051500",28
"36047053300",132
"36047035300",61
"36047043900",163
"36005032300",26
"36061004500",52211
"36047005602",16
"36059303101",1
"36061000100",1
"36005009200",61
"36047083800",6
"36081140300",3
"36047052300",9742
"36071013900",7
"36047064800",2
"36081006502",1334
"36061025700",4470
"36085018701",1
"36047069602",3
"36059521902",1
"36005009000",18
"36081012602",3
"36047048400",80
"36081026902",143
"36081031700",1567
"36119005100",5
"36047016200",15
"36081099704",9
"36005007200",71
"36081077904",43
"36047075200",20
"36005026500",37
"36005009800",13
"36081014700",660
"36047086600",21
"36119002300",3
"36119002201",3
"36059303900",10
"36061012200",68895
"36061006600",57038
"36047042900",304
"36081009800",11
"36081014202",99
"36047009800",3
"36061009300",64562
"36081127700",23
"36005031200",3
"36047062000",2
"36005023703",16
"36005024000",12
"36047063800",3
"36047007400",70
"36047051100",683
"36081147100",1
"36103145804",1
"36005002702",55
"36087013100",2
"36119002107",2
"36119004600",8
"36047090200",11
"36081100801",1
"36061020500",18958
"36061015001",26540
"36047031400",12
"36059300400",2
"36047003800",7
"36061002202",11995
"36005021100",20
"36047047800",47
"36005042400",3
"36005022500",20
"36005022404",6
"36005019700",91
"36119000401",3
"36059303000",3
"36119006600",3
"36059416402",4
"36081014201",21
"36047040800",1
"36047055100",6750
"36081130100",39
"36103145803",4
"36047087200",11
"36047006500",4909
"36081055500",10
"36061019702",4594
"36047052800",23
"36061004200",56523
"36061023600",263
"36081001800",16
"36061011900",141083
"36047048900",116
"36047087600",14
"36047029000",20
"36081039400",3
"36081009500",911
"36081070900",14
"36047028501",274
"36047068600",3
"36081047200",8
"36047031702",326
"36061017200",6193
"36103146604",1
"36047096200",10
"36081103201",1
"36081118500",2
"36047002000",23
"36005025600",10
"36005026702",10
"36103146605",4
"36081080900",37
"36081040900",30
"36061003001",73503
"36005039300",12
"36085009700",1
"36081046900",147
"36005034800",3
"36047054400",6
"36081015400",13
"36005025500",22
"36081049900",66
"36047042200",17
"36005041300",8
"36005002300",118
"36081003700",162
"36059407302",3
"36005038000",22
"36119001402",4
"36061017500",48857
"36061008100",83977
"36047067200",4
"36005041500",10
"36047011800",11
"36047016800",1
"36047034800",10
"36081056200",3
"36047020200",6
"36005035000",1
"36047122000",18
"36005034200",5
"36047061200",2
"36047014800",5
