"geoid","total"
"36059301000",2
"36005005400",466
"36047039900",159
"36081079200",28
"36081040000",2
"36047026900",1012
"36047051400",118
"36119009400",3
"36061008400",6
"36061003100",6
"36005038800",6
"36061003900",4
"36047045400",19
"36081050500",13
"36005043000",7
"36005022000",723
"36047059200",29
"36005038700",1097
"36047036700",259
"36059411600",3
"36005026601",90
"36005032400",36
"36081066701",20
"36061014602",4
"36047017200",4
"36047005800",17
"36081084900",123
"36047029900",205
"36081039900",415
"36081026600",5
"36005025300",656
"36005039700",1925
"36061024302",839
"36061027100",3961
"36061029700",380
"36005041400",35
"36059518400",1
"36081081800",18
"36047093600",8
"36005022403",363
"36061023400",1203
"36047002200",46
"36005016300",77
"36047083400",9
"36047021900",1080
"36081001200",47
"36119002203",3
"36119007000",2
"36081013000",30
"36119011102",1
"36081045800",35
"36081026000",1
"36081018402",13
"36047037900",194
"36005045102",6
"36081003100",919
"36047054500",145
"36061029900",833
"36081044400",65
"36047085600",23
"36081134700",29
"36119001102",2
"36047007200",20
"36005022200",761
"36005035800",57
"36081066501",16
"36005040702",459
"36081108500",4
"36047021300",507
"36081012601",29
"36061003601",2
"36047030200",5
"36081119300",4
"36061018900",4
"36047046800",2
"36081042700",241
"36059302300",1
"36005021200",280
"36081051500",76
"36047053300",98
"36047035300",123
"36047043900",212
"36005032300",24
"36061004500",1
"36047005602",12
"36005009200",655
"36047083800",13
"36081140300",5
"36047052300",2478
"36047064800",2
"36081006502",3093
"36061025700",9177
"36047069602",3
"36005009000",245
"36081012602",19
"36047048400",34
"36081026902",759
"36081031700",683
"36119003200",4
"36047016200",8
"36005007200",2121
"36081099704",18
"36081077904",99
"36047075200",5
"36005026500",984
"36005009800",126
"36081014700",1779
"36047086600",20
"36119002201",1
"36061012200",5
"36047042900",319
"36081009800",14
"36081014202",336
"36047009800",14
"36061009300",1
"36081127700",27
"36005031200",40
"36047062000",8
"36005023703",1284
"36005024000",403
"36047063800",5
"36047051100",764
"36047007400",87
"36081147100",19
"36103145804",1
"36005002702",496
"36081103202",1
"36047090200",56
"36047028000",6
"36061020500",7823
"36061015001",2
"36047031400",12
"36059300400",2
"36047003800",6
"36005021100",754
"36047047800",19
"36005042400",4
"36005022500",841
"36005015800",37
"36005022404",134
"36005019700",1472
"36119000401",2
"36059303000",2
"36119006600",1
"36081014201",44
"36047055100",8639
"36081130100",10
"36047087200",18
"36047006500",2810
"36081055500",20
"36061019702",1926
"36047052800",47
"36061004200",1
"36061023600",1409
"36081001800",58
"36047048900",107
"36061011900",2
"36047087600",45
"36047029000",7
"36081039400",7
"36081009500",261
"36081070900",47
"36047028501",358
"36047068600",2
"36081047200",33
"36047031702",539
"36061017200",4028
"36047096200",14
"36081118500",7
"36047002000",23
"36005025600",200
"36005026702",150
"36081080900",199
"36081040900",577
"36061003001",5
"36005039300",575
"36085009700",3
"36081046900",1288
"36005034800",64
"36047054400",1
"36081015400",25
"36005025500",466
"36081049900",94
"36047042200",9
"36005041300",351
"36005002300",477
"36081003700",181
"36005038000",133
"36119001402",2
"36103124500",2
"36061017500",4
"36047067200",10
"36059520100",1
"36005041500",251
"36047011800",13
"36047034800",297
"36047020200",1
"36005035000",17
"36047122000",58
"36005034200",44
"36047061200",4
"36047014800",3
"36047020500",1403
"36005051600",48
"36047031100",283
"36005040900",386
"36005043500",273
"36081009400",42
"36005039600",42
"36047095600",17
"36047008600",13
"36061018000",3639
"36047017400",4
"36047074200",9
"36047070202",12
"36047079200",77
"36047008800",79
"36047062800",58
"36047057400",2
"36047043100",285
"36061023900",699
"36081075702",189
"36119000103",3
"36005036000",15
"36081073900",3111
"36005017100",64
"36059414001",2
"36047005202",6
"36081105900",1
"36081055600",4
"36005041800",36
"36081119100",13
"36119003800",2
"36047097400",40
"36081101700",2
"36081109300",13
"36081012000",33
"36081023000",31
"36061024900",252
"36061019300",1959
"36085012100",1
"36061019000",4888
"36047044800",2
"36005027900",197
"36081024900",1108
"36047008500",58
"36005003800",11
"36081026400",9
"36005008600",64
"36061010200",6
"36081018200",23
"36005015100",496
"36085029102",1
"36047099600",9
"36047011600",11
"36059409000",1
"36081038400",7
"36061000900",5
"36081029500",780
"36005036300",429
"36047015900",2168
"36081010800",16
"36081101001",5
"36085027702",2
"36005002000",70
"36047092800",15
"36061026500",2702
"36081027900",1874
"36061022500",3787
"36005045800",26
"36047061004",12
"36081029700",673
"36005001600",181
"36081051800",1
"36047014700",159
"36081018700",168
"36005004100",330
"36061012100",3
"36005025100",590
"36061012500",4
"36061023502",681
"36059301300",2
"36005038900",563
"36081055800",3
"36081150702",2
"36047048100",635
"36081015600",24
"36081056800",28
"36047059401",27
"36005033000",204
"36005036501",338
"36081058200",2
"36081040400",4
"36047036600",23
"36047085800",13
"36061002500",2
"36081071305",311
"36081058500",43
"36061011600",6
"36081048300",306
"36005044901",4
"36005002400",24
"36061028300",1132
"36119003700",2
"36005020501",359
"36005042200",18
"36047069000",5
"36081041500",138
"36047059402",27
"36081068700",172
"36047042000",25
"36081157901",3
"36061030300",1167
"36081025100",1220
"36047031500",1010
"36081053500",105
"36081003300",4460
"36081027500",1971
"36119002600",4
"36081007900",815
"36047008000",73
"36047022100",867
"36047005000",3
"36047044100",108
"36047035100",200
"36047019900",2619
"36005009600",484
"36047029100",165
"36081014100",767
"36061016100",2
"36047039800",17
"36061014500",7
"36047120800",30
"36047107000",93
"36047050804",194
"36047011400",120
"36047040100",175
"36047009000",37
"36103159411",1
"36047090600",86
"36047025100",364
"36005037504",700
"36119010100",3
"36081060100",20
"36047048200",65
"36081005300",2229
"36005018500",1013
"36119007800",3
"36005021002",444
"36081054800",3
"36047023000",3
"36061015700",4
"36047100400",10
"36081006201",8
"36119009703",1
"36047056400",8
"36085001700",2
"36047026000",3
"36047111800",3
"36047013500",1804
"36047041300",49
"36081118900",10
"36047030500",1568
"36047024400",9
"36005016900",228
"36081025301",1755
"36005024300",815
"36081087100",13855
"36005018400",127
"36081043702",173
"36047120200",18
"36047011200",31
"36119003400",4
"36081028400",10
"36005013000",26
"36047024100",1318
"36047081400",42
"36081114100",4
"36047006900",4281
"36061013400",3
"36081007100",3818
"36047065000",19
"36081099703",5
"36047051001",86
"36081004401",12
"36047025200",9
"36047024700",1473
"36047034500",103
"36081018000",33
"36047056800",2
"36047055600",4
"36081010600",36
"36047082400",50
"36059302502",1
"36081018300",3678
"36081048900",453
"36061014801",1
"36047003900",3715
"36005015900",691
"36081016900",438
"36059409900",1
"36047056900",6090
"36005023502",757
"36081014800",53
"36081003400",20
"36081124100",35
"36061011700",3
"36081048400",23
"36061008601",2
"36119001504",14
"36047024300",1111
"36047041402",9
"36081121500",41
"36047038200",10
"36081056000",7
"36085004000",2
"36047068000",4
"36061026900",2249
"36081113300",2
"36061030900",1888
"36081013800",87
"36081119500",4
"36047069200",3
"36081045400",89
"36047051602",75
"36047024800",2
"36081069500",113
"36047114400",52
"36047000501",1404
"36047045000",5
"36047023500",729
"36081007500",1042
"36061020600",1598
"36081024000",588
"36047093000",9
"36081017900",2486
"36047016700",474
"36005003100",120
"36061001502",2
"36047028100",393
"36005033500",31
"36085018702",1
"36061031100",373
"36047042300",746
"36047020400",2
"36081025400",55
"36061024100",3023
"36081037100",28
"36047105801",18
"36119007700",1
"36005016200",68
"36081016600",41
"36081012301",509
"36081071600",462
"36047050300",1831
"36081085300",2203
"36047002300",423
"36047092400",146
"36005005200",82
"36081019600",12
"36061011500",4
"36059302900",3
