"geoid","total"
"36081044400",10
"36047085600",15
"36081134700",22
"36119001102",1
"36047007200",9
"36005022200",3
"36005035800",5
"36081066501",16
"36005040702",2
"36081108500",7
"36047021300",121
"36081012601",5
"36059413400",2
"36061003601",1761
"36081119300",3
"36047030200",2
"36119010702",2
"36085007700",1
"36061018900",189
"36047046800",2
"36081042700",11
"36059302300",2
"36119011700",1
"36005021200",2
"36081051500",12
"36047053300",22
"36047035300",48
"36047043900",42
"36005032300",9
"36061004500",4232
"36047005602",26
"36059303101",3
"36005009200",1
"36081140300",2
"36047052300",593
"36047064800",5
"36081006502",75
"36061025700",197
"36047069602",17
"36005009000",3
"36103110803",1
"36081012602",1
"36047048400",16
"36081026902",18
"36081031700",66
"36119005100",3
"36047016200",17
"36081099704",7
"36005007200",3
"36081077904",24
"36047075200",12
"36005026500",10
"36059521100",1
"36005009800",4
"36081014700",41
"36047086600",16
"36119002201",2
"36059303900",2
"36061012200",2660
"36103147602",1
"36061006600",1166
"36047042900",112
"36081009800",3
"36081014202",12
"36047009800",5
"36061009300",1830
"36081127700",43
"36005031200",2
"36047062000",2
"36005023703",4
"36005024000",1
"36047063800",2
"36047051100",329
"36047007400",12
"36081147100",13
"36103145804",1
"36005002702",8
"36087013100",1
"36081103202",6
"36119004600",18
"36059413803",1
"36047090200",3
"36047028000",6
"36061020500",209
"36061015001",689
"36047031400",9
"36047003800",8
"36061002202",540
"36005021100",6
"36047047800",6
"36005042400",2
"36005022500",2
"36005015800",1
"36005022404",3
"36005019700",4
"36119000401",3
"36059303000",5
"36119006600",2
"36047040800",4
"36081014201",1
"36047055100",939
"36081130100",3
"36047087200",22
"36059415700",1
"36047006500",453
"36081055500",10
"36061019702",59
"36047052800",6
"36061004200",2046
"36061023600",22
"36081001800",1
"36061011900",5406
"36047048900",22
"36047087600",40
"36047029000",8
"36081039400",5
"36081009500",55
"36081070900",15
"36047028501",44
"36047068600",4
"36085009601",1
"36081047200",20
"36047031702",96
"36061017200",45
"36103146604",1
"36047096200",3
"36081103201",1
"36081118500",3
"36047002000",28
"36005026702",5
"36103146605",1
"36081080900",41
"36081040900",3
"36061003001",2954
"36005039300",9
"36081046900",5
"36005034800",4
"36047054400",15
"36081015400",9
"36005025500",5
"36081049900",12
"36047042200",22
"36005041300",8
"36005002300",6
"36059407302",8
"36081003700",17
"36005038000",4
"36119001402",1
"36061017500",1246
"36061008100",3501
"36047067200",8
"36005041500",8
"36047011800",19
"36047016800",2
"36047034800",8
"36081056200",3
"36047020200",6
"36047122000",12
"36005034200",3
"36047061200",4
"36047014800",3
"36047020500",273
"36005051600",3
"36047031100",60
"36005040900",34
"36005043500",38
"36081009400",2
"36047095600",10
"36047008600",3
"36061018000",66
"36059410100",1
"36047017400",1
"36047074200",9
"36047070202",6
"36047079200",14
"36047008800",16
"36119007402",4
"36047062800",8
"36047057400",3
"36047043100",110
"36061023900",17
"36081075702",19
"36119000103",3
"36119001101",1
"36005036000",1
"36081073900",36
"36059518100",1
"36047005202",13
"36081105900",1
"36081055600",2
"36119006700",5
"36081119100",1
"36103112103",1
"36119011400",8
"36119003800",2
"36047097400",16
"36081101700",8
"36081109300",5
"36081012000",7
"36059408200",3
"36081023000",4
"36061024900",1
"36061019300",207
"36085012100",2
"36061019000",77
"36047044800",9
"36005027900",13
"36047008500",22
"36081024900",21
"36079010800",1
"36005003800",1
"36061010200",8754
"36005008600",3
"36081018200",6
"36005015100",5
"36085029102",9
"36047099600",7
"36085009602",2
"36047011600",3
"36081038400",5
"36061000900",2585
"36081029500",9
"36103110901",2
"36005036300",3
"36047015900",373
"36081010800",5
"36081101001",1
"36103169704",2
"36081061000",1
