external_id,date,videos,view_count
UCxNkdjiN-zutIFvyH5g-c3g,2014-06-1,19,670000
UCxNkdjiN-zutIFvyH5g-c3g,2014-07-1,17,850000
UCxNkdjiN-zutIFvyH5g-c3g,2014-08-1,5,82000
UCxNkdjiN-zutIFvyH5g-c3g,2014-09-1,41,6.00E+05
UCxNkdjiN-zutIFvyH5g-c3g,2014-10-1,24,250000
UClsy9JcwIVaq29WhPFI0eBg,2014-02-1,8,6800000
UClsy9JcwIVaq29WhPFI0eBg,2014-03-1,7,250000
UClsy9JcwIVaq29WhPFI0eBg,2014-05-1,3,6500000
UClsy9JcwIVaq29WhPFI0eBg,2014-06-1,3,280000
UClsy9JcwIVaq29WhPFI0eBg,2014-07-1,5,5100000
UClsy9JcwIVaq29WhPFI0eBg,2014-09-1,1,630000
UClsy9JcwIVaq29WhPFI0eBg,2014-10-1,4,3100000
UClsy9JcwIVaq29WhPFI0eBg,2015-03-1,1,86000
UC0PXqiud6dbwOAk8RvslgpQ,2007-04-1,1,6000
UC0PXqiud6dbwOAk8RvslgpQ,2007-06-1,3,56000
UC0PXqiud6dbwOAk8RvslgpQ,2007-07-1,1,1300000
UC0PXqiud6dbwOAk8RvslgpQ,2007-08-1,7,1300000
UC0PXqiud6dbwOAk8RvslgpQ,2007-10-1,1,3000
UC0PXqiud6dbwOAk8RvslgpQ,2007-11-1,1,7000
UC0PXqiud6dbwOAk8RvslgpQ,2007-12-1,1,170000
UC0PXqiud6dbwOAk8RvslgpQ,2008-01-1,2,230000
UC0PXqiud6dbwOAk8RvslgpQ,2008-02-1,2,420000
UC0PXqiud6dbwOAk8RvslgpQ,2008-04-1,2,2.00E+05
UC0PXqiud6dbwOAk8RvslgpQ,2008-05-1,4,1.00E+05
UC0PXqiud6dbwOAk8RvslgpQ,2008-06-1,2,47000
UC0PXqiud6dbwOAk8RvslgpQ,2008-07-1,1,31000
UC0PXqiud6dbwOAk8RvslgpQ,2008-08-1,1,22000
UC0PXqiud6dbwOAk8RvslgpQ,2008-09-1,2,250000
UC0PXqiud6dbwOAk8RvslgpQ,2008-10-1,2,16000
