year_month,external_id,subscriber_count
2013-01-1,UCcHtke0raf8vNYLM1Hbq3Jw,4400
2013-01-1,UC-Ba10Rmz8pFivAVdQNeFyw,100
2013-01-1,UCBNXKrniCm4Qd9v5tTzY-aA,5000
2013-01-1,UC82o9tQyo_cJhtyoFi-ROEw,26400
2013-01-1,UC2LgZ_4GzSFQS-3a87_Jc6w,598100
2013-01-1,UCB0d0JLn1WcGYcwwZ87d2LA,80700
2013-01-1,UC5QA3ePozxshgdIbYafT_fA,8500
2013-01-1,UC2C-970d2o-YGLPqsG6FcWQ,33200
2013-01-1,UCq-vSTqa-OPeMzx5fjH9w_w,2300
2013-01-1,UCHzrmjGQIw043RVffpyjezg,71900
2013-01-1,UC12Ku0_2bhNsreyaoZH9raQ,101600
2013-01-1,UCJi_befq0YDYJ9fCeyHxJbg,161600
2013-01-1,UC_BaxRhNREI_V0DVXjXDALA,87500
2013-01-1,UCyC_4jvPzLiSkJkLIkA7B8g,1294300
2013-01-1,UCaIM6y9YvfUb_IxS2reKsqw,400
2013-01-1,UC5zSySQab9SA6Wz569WDgqw,837600
2013-01-1,UCPvEbO2bI5x1MVLUuRJoZXg,200
2013-01-1,UCd9SVWsoWGWLG_hoqOw5piQ,700
2013-01-1,UC09cuppOi5VxxLyykSpdnlw,11500
2013-01-1,UCNBbCOuAN1NZAuj0vPe_MkA,800
2013-01-1,UCbu2SsF-Or3Rsn3NxqODImw,618100
2013-01-1,UC_39VhpzPZyOVrXUeWv04Zg,58400
2013-01-1,UCe7UlMFn6_TjAC6MENhGRaA,300
2013-01-1,UCNoeMd-St-c-7Nw0b2zrr_w,600
2013-01-1,UCT8z80a4ESgO2Y4qajk-iXw,878400
2013-01-1,UCR2lg_YchvWGbpMxHg-EIgg,313100
2013-01-1,UCG4dadF2w8Z95qz-vJ3WkqQ,2600
2013-01-1,UCaibwqCNTDZOSC7RdVDjLmw,0
2013-01-1,UCLyYEq4ODlw3OD9qhGqwimw,3700
2013-01-1,UC22TOQWJue006Lp6DB5QhDA,1313600
2013-01-1,UCap97Ue8K_BpKlrvQRYd6JA,14800
2013-01-1,UCYSBo41CFBbyFXV8_k-Cx2g,1100
2013-01-1,UCg-YCxiu2u54f9dcZXVPe3w,3800
2013-01-1,UCe4LM_eKc9ywRmVuBm5pjQg,1128300
2013-01-1,UCOpcACMWblDls9Z6GERVi1A,239500
2013-01-1,UCAzPsJi_SFdpPBvbiPc1DNQ,0
2013-01-1,UCHnyfMqiRRG1u-2MsSQLbXA,192500
2013-01-1,UClZkHt2kNIgyrTTPnSQV3SA,175900
2013-01-1,UCF_1C_TUmcGoFqYKkcc85Yg,300
2013-01-1,UC-KQIG4-dyR1kIHCQFOJ-hQ,22900
2013-01-1,UCWZRANKlxNe_4QKiqBBCTOQ,11700
2013-01-1,UC-k-Rld-31VU588OAEWC0DA,NA
2013-01-1,UCeqUUXaM75wrK5Aalo6UorQ,188500
2013-01-1,UCs_uv3QyUIQjBoL1Ij5BdlQ,46000
2013-01-1,UCmBnutz50JW-jAuYz21URIg,0
2013-01-1,UCshoKvlZGZ20rVgazZp5vnQ,2433600
2013-01-1,UC5BMQOsAB8hKUyHu9KI6yig,1.00E+05
2013-01-1,UC9PgszLOAWhQC6orYejcJlw,55400
2013-01-1,UC6jgzx2g3nlbaYkd8EMweKA,26100
2013-01-1,UCvmijL-eepDVHYSJHDY3d6w,200
2013-01-1,UCtg17AAUcgsfmTZ7cOojgpA,16400
2013-01-1,UC_gE-kg7JvuwCNlbZ1-shlA,673000
2013-01-1,UCiP6wD_tYlYLYh3agzbByWQ,83400
2013-01-1,UC2mtXUpAYLYJIZ2deSPhlqw,75600
2013-01-1,UCJIMS94jwjEmvnsNqkH_KUg,42800
2013-01-1,UCoOx45FcGxN7sI2xQakj0EA,71800
2013-01-1,UC5rs0KQbynTiXjyhivBUkAQ,0
2013-01-1,UC89aNJlaople1Mxq4dYfyGA,17500
2013-01-1,UCzo5sreD2cVGu2T2mNu__1Q,40400
2013-01-1,UCa53fMnMax27fsyKBP_ygSA,100
2013-01-1,UCVtL1edhT8qqY-j2JIndMzg,43500
2013-01-1,UCkzCjdRMrW2vXLx8mvPVLdQ,99600
2013-01-1,UCZ8kV8vuMdDLSerCIFfWnFQ,112600
2013-01-1,UCWxoNGr-Uk9ql-r8upHmLWA,0
2013-01-1,UCtihF1ZtlYVzoaj_bKLQZ-Q,85900
2013-01-1,UCJ0q80Cg2mIUPqTigNe8ftg,500
2013-01-1,UC5nwNW4KdC0SzrhF9BXEYOQ,14400
2013-01-1,UCBTr3sPSDnIiwPnFngzO6rg,6900
2013-01-1,UCjVkjd2VWCWO-9DHRQER3Yg,16200
2013-01-1,UCiNANhNp8yGjuRuBld0YOlw,10300
2013-01-1,UCgF0OC_3MlW2KEyhhAgIQjA,37400
2013-01-1,UCBy6yIwHdhEEYG_nwHD-tiQ,10500
2013-01-1,UCL8ZULXASCc1I_oaOT0NaOQ,368800
2013-01-1,UCGVrxaJHUQHbPSUVDZ8sUVQ,4600
2013-01-1,UC1pOTJteEef10zJM0cHs4iQ,23900
2013-01-1,UCDATi9UrhqjfVNxIKNizOiQ,0
