"","Date/Time","Lat","Lon","Base"
"80","4/1/2014 6:36:00",40.76766225,-73.96555969,"B02512"
"81","4/1/2014 6:37:00",40.740429,-74.00763025,"B02512"
"82","4/1/2014 6:38:00",40.76791695,-73.95987033,"B02512"
"83","4/1/2014 6:39:00",40.76941186,-73.9852027,"B02512"
"84","4/1/2014 6:40:00",40.78575217,-73.95461312,"B02512"
"85","4/1/2014 6:40:00",40.77418778,-73.94905141,"B02512"
"86","4/1/2014 6:42:00",40.77030519,-73.94999423,"B02512"
"87","4/1/2014 6:42:00",40.76135015,-73.99966635,"B02512"
"88","4/1/2014 6:43:00",40.79299213,-73.97486495,"B02512"
"89","4/1/2014 6:44:00",40.72314598,-73.94417739,"B02512"
"90","4/1/2014 6:45:00",40.78739849,-73.95452063,"B02512"
