End Date,Perry
2/18/2012,
2/20/2012,
2/20/2012,
2/21/2012,
2/22/2012,
2/23/2012,
2/28/2012,
2/28/2012,
2/29/2012,
3/3/2012,
3/6/2012,
3/9/2012,
3/10/2012,
3/11/2012,
3/11/2012,
3/11/2012,
3/11/2012,
3/12/2012,
3/13/2012,
3/14/2012,
3/17/2012,
3/20/2012,
3/20/2012,
3/22/2012,
3/24/2012,
3/25/2012,
3/25/2012,
3/27/2012,
4/3/2012,
4/3/2012,
4/8/2012,
4/9/2012,
4/10/2012,
4/11/2012,
4/15/2012,
4/15/2012,
4/16/2012,
4/17/2012,
4/23/2012,
4/30/2012,
12/2/2012,
1/6/2013,2
1/14/2013,2
1/21/2013,2
2/3/2013,3
2/3/2013,3
2/18/2013,2
2/25/2013,1
3/30/2013,2
4/1/2013,
5/9/2013,
6/3/2013,
6/10/2013,
6/17/2013,
6/24/2013,
7/1/2013,
7/8/2013,
7/15/2013,5
7/18/2013,4
7/21/2013,
8/2/2013,
9/8/2013,6
9/26/2013,
9/29/2013,
10/1/2013,
10/20/2013,
10/28/2013,
10/31/2013,
11/20/2013,7
12/5/2013,3
12/9/2013,
12/15/2013,
12/16/2013,3
12/16/2013,
1/13/2014,
1/14/2014,6
1/19/2014,
1/23/2014,
1/26/2014,
2/2/2014,8
2/9/2014,2
3/9/2014,11
3/9/2014,
3/20/2014,1
3/30/2014,
4/10/2014,3
4/15/2014,5
4/27/2014,5
5/4/2014,8
6/1/2014,6
6/4/2014,5
6/29/2014,
6/30/2014,3
7/20/2014,11
7/22/2014,12
8/7/2014,7
10/12/2014,5
11/23/2014,4
11/23/2014,2
12/9/2014,2
12/9/2014,4
12/14/2014,4
12/21/2014,4
1/12/2015,2
1/25/2015,2
1/27/2015,4
2/15/2015,3
2/22/2015,3
2/23/2015,3
3/2/2015,1
3/4/2015,3
3/15/2015,4
3/19/2015,5
3/23/2015,5
3/29/2015,2
3/31/2015,3
3/31/2015,3
4/2/2015,5
4/13/2015,4
4/19/2015,3
4/20/2015,2
4/21/2015,2
4/21/2015,3
4/27/2015,2
4/30/2015,2
5/4/2015,6
5/10/2015,2
5/11/2015,1
5/12/2015,2
5/16/2015,
5/18/2015,2
5/25/2015,4
5/26/2015,1
5/31/2015,5
5/31/2015,2
6/1/2015,2
6/2/2015,4
6/8/2015,2
6/14/2015,
6/14/2015,4
6/15/2015,7
6/18/2015,5
6/22/2015,2
6/23/2015,2
6/28/2015,4
6/29/2015,2
7/6/2015,3
7/12/2015,2
7/12/2015,1
7/13/2015,
7/14/2015,3
7/15/2015,
7/15/2015,1
7/19/2015,4
7/20/2015,
7/20/2015,2
7/21/2015,1
7/25/2015,3
7/27/2015,1
7/28/2015,0
7/28/2015,2
7/29/2015,3
7/29/2015,2
7/29/2015,3
7/30/2015,3
8/2/2015,1
8/2/2015,2
8/2/2015,2
8/2/2015,2
8/3/2015,3
8/4/2015,2
8/4/2015,2
8/5/2015,4
8/8/2015,2
8/9/2015,1
8/10/2015,1
8/10/2015,1
8/12/2015,2
8/13/2015,1
8/16/2015,2
8/16/2015,2
8/18/2015,0
8/19/2015,4
8/19/2015,2
8/22/2015,2
8/25/2015,1
8/26/2015,3
8/30/2015,1
8/30/2015,1
9/1/2015,0
9/2/2015,1
9/2/2015,2
9/7/2015,3
9/8/2015,0
9/8/2015,0
9/9/2015,2
