event_id,start_dt,event_desc,league_id,status_id,description,mma_event_id,event_id_1,match_number,title,fighter_1_id,fighter_2_id,fighter_1_weight,fighter_2_weight,winner_id,result,decision_round,decision_seconds,modified_from,modified_by,modified_dt,decision_method,weight_class,sport_id,scheduled_rounds,round_length,fighter1_name,fighter2_name
400255678,30-May-97,UFC 13: The Ultimate Force,3321,10504,Final,1421,1421,1,,2473327,2335338,300,220,2335338,Won,1,56,WTS-DG02E,goulder,19-Aug-09,Submission (Rear Naked Choke),Heavyweight,MMA,1,30:00:00,Tony Halme,Randy Couture
400255678,30-May-97,UFC 13: The Ultimate Force,3321,10504,Final,1421,1421,2,,2473328,2335338,290,220,2335338,Won,1,193,WTS-DG02E,goulder,19-Aug-09,TKO,Heavyweight,MMA,1,30:00:00,Steven Graham,Randy Couture
400255678,30-May-97,UFC 13: The Ultimate Force,3321,10504,Final,1421,1421,3,,2335646,2335472,205,205,2335646,Won,1,180,WTS-DG03E,goulder,10-Oct-09,Submission (Guillotine),Light Heavyweight,MMA,1,30:00:00,Guy Mezger,Tito Ortiz
400255678,30-May-97,UFC 13: The Ultimate Force,3321,10504,Final,1421,1421,4,,2488532,2335472,205,205,2335472,Won,1,31,WTS-DG03E,goulder,10-Oct-09,TKO,Light Heavyweight,MMA,1,30:00:00,Wes Albritton,Tito Ortiz
400255678,30-May-97,UFC 13: The Ultimate Force,3321,10504,Final,1421,1421,5,,2354050,2354057,250,235,2354057,Won,1,52,WTS-DG01,landrigm,14-Feb-10,TKO,Heavyweight,MMA,3,5:00,David Abbott,Vitor Belfort
400255669,27-Jul-97,UFC 14:  Showdown,3321,10504,Final,2463,2463,1,,2473329,2335515,250,240,2473329,Won,1,1260,WTS-DG01,landrigm,9-Feb-10,Unanimous Decision,Heavyweight,MMA,1,21:00,Maurice Smith,Mark Coleman
400255653,17-Oct-97,UFC 15: Collision Course,3321,10504,Final,1422,1422,1,,2354057,2335338,220,220,2335338,Won,1,496,WTS-DG02E,goulder,19-Aug-09,TKO,Heavyweight,MMA,1,30:00:00,Vitor Belfort,Randy Couture
400255645,21-Dec-97,UFC - Ultimate Japan,3321,10504,Final,1423,1423,1,UFC Heavyweight Title,2473329,2335338,250,220,2335338,Won,1,1260,WTS-DG02E,goulder,19-Aug-09,Majority Decision,Heavyweight,MMA,1,21:00,Maurice Smith,Randy Couture
400255645,21-Dec-97,UFC - Ultimate Japan,3321,10504,Final,1423,1423,2,,2499919,2354057,260,235,2354057,Won,1,243,WTS-DG01,landrigm,14-Feb-10,Submission (Armbar),Heavyweight,MMA,3,5:00,Joe Charles,Vitor Belfort
400255637,13-Mar-98,UFC 16: Battle in the Bayou,3321,10504,Final,4212,,,,,,,,,,,,,,,,,,,,,
