GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC02_EST_VC02,HC02_EST_VC01,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Total; Estimate; Households,Median income (dollars); Estimate; Households,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Population 5 years and over",Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone
7950000US3604018,3604018,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",44986,30850,56.5,106249,68413,13968
7950000US3604101,3604101,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",75097,50960,75.6,178585,110814,16357
7950000US3604102,3604102,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",58518,49181,55.9,192889,88449,13271
7950000US3604103,3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",87775,50490,47.8,250391,89451,5795
7950000US3604104,3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",42768,72158,67.6,118250,57034,1805
7950000US3604105,3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",61014,76885,85.8,197890,30094,112392
7950000US3604106,3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",53528,57531,68.2,155659,69464,16627
7950000US3604107,3604107,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",44535,46489,49.5,150519,57004,15946
7950000US3604108,3604108,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",51962,61654,74.1,116101,75159,2370
7950000US3604109,3604109,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",51022,61836,61.1,133375,74960,2495
7950000US3604110,3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",62888,58564,76.8,163960,134502,4080
7950000US3604111,3604111,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",47350,62532,76.7,158754,65109,9827
7950000US3604112,3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",72260,51449,84.7,246150,26430,155262
7950000US3604113,3604113,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",36774,62671,87.7,121383,38549,23298
7950000US3604114,3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",38752,46731,85.6,112269,56855,41680
