geoid,median_income,total_households,nonwhite_share,total_pop,black_pop,black_share,pct_speak_eng_less_well,median_age,share_24_44
3.60E+10,50000,918,36.3849,2567,208,8.10284,17.8,34.5,33.4
3.60E+10,18781,1727,1.75898,6879,95,1.38101,36.4,18.3,19.9
3.60E+10,25667,1252,35.8018,3754,319,8.4976,30.6,34.3,27.1
3.61E+10,78370,654,96.8254,2268,2166,95.5026,18.6,45.3,26.4
3.61E+10,63409,358,47.4474,1332,6,0.45045,59.5,30.9,37.4
3.60E+10,18245,1093,9.72599,4051,0,0,37.6,20.5,15.3
3.61E+10,72222,536,92.9914,1969,1443,73.2859,5.5,38.1,21.2
3.60E+10,20990,719,4.44382,3578,84,2.34768,34.1,17.4,18.2
3.61E+10,72250,429,97.9132,1821,1722,94.5634,6.1,38.5,24.4
3.60E+10,29287,1845,25.2994,3925,44,1.12102,53.1,42.8,27.2
3.61E+10,51902,1457,35.7143,4298,124,2.88506,23.4,35.2,31.9
3.60E+10,23415,842,5.70329,2858,137,4.79356,29,26,18.2
3.61E+10,44191,1196,91.4404,4346,3361,77.3355,12.9,38.3,26.6
3.61E+10,82500,1452,82.0315,5710,1564,27.3905,15.9,37.1,26.8
3.60E+10,42826,1494,12.8086,4294,142,3.30694,24,35.3,20.6
3.60E+10,77396,113,38.1818,220,67,30.4545,7.7,33.1,58.7
3.60E+10,60274,1203,10.5501,2872,0,0,31.7,43.8,22.6
3.61E+10,49091,1280,30.1452,3858,214,5.54692,42.8,31.2,37.2
3.60E+10,14348,2334,15.7298,6618,614,9.27773,33,24.8,17.8
3.60E+10,34229,1857,6.96888,4434,60,1.35318,47.2,39.7,30.9
3.61E+10,47479,1307,32.4923,4558,157,3.44449,50.7,32.4,38.4
3.60E+10,39750,1517,18.146,5081,290,5.70754,33.1,24.9,31.4
3.61E+10,82750,647,91.6369,2523,925,36.6627,13.9,38.2,29.7
3.60E+10,61875,746,20.8485,2475,21,0.848485,29.3,40.2,17.2
3.61E+10,42199,1701,24.3337,5778,377,6.52475,36.1,27.7,30.1
3.60E+10,62882,1225,17.2546,3402,80,2.35156,16.4,28.2,48.7
3.60E+10,41528,1484,14.1313,3793,29,0.764566,44.7,35.3,26.7
3.61E+10,37420,1669,22.1677,4890,149,3.04703,28.8,33.9,33
3.60E+10,61536,2203,24.8903,5243,386,7.3622,21.2,32.9,52.5
3.61E+10,62944,1067,86.2889,3406,1096,32.1785,22.9,35.6,28.4
3.60E+10,38905,1387,28.7102,3295,24,0.728376,48.8,45.4,27.9
3.61E+10,38125,805,43.3287,2181,65,2.98028,36.3,32.8,28.1
3.60E+10,73171,1238,26.16,2737,84,3.06905,12.6,30.8,50.7
3.61E+10,78568,791,79.595,2617,589,22.5067,37.3,39.6,30.1
