Date/Time,Lat,Lon,Base
4/1/14 6:39,40.76941186,-73.9852027,B02512
4/1/14 6:40,40.78575217,-73.95461312,B02512
4/1/14 6:40,40.77418778,-73.94905141,B02512
4/1/14 6:42,40.77030519,-73.94999423,B02512
4/1/14 6:42,40.76135015,-73.99966635,B02512
4/1/14 6:43,40.79299213,-73.97486495,B02512
4/1/14 6:44,40.72314598,-73.94417739,B02512
4/1/14 6:45,40.78739849,-73.95452063,B02512
4/1/14 6:47,40.76890346,-73.98118568,B02512
4/1/14 6:47,40.77885768,-73.95568952,B02512
4/1/14 6:48,40.72708367,-74.00540376,B02512
4/1/14 6:52,40.78771842,-73.97299092,B02512
4/1/14 6:52,40.72545372,-74.00919523,B02512
4/1/14 6:54,40.76527532,-73.97226554,B02512
4/1/14 6:56,40.76435791,-73.97690462,B02512
4/1/14 6:57,40.77255977,-73.95322172,B02512
4/1/14 6:59,40.78979382,-73.96606851,B02512
4/1/14 7:00,40.78393788,-73.97033944,B02512
4/1/14 7:00,40.72357814,-74.00160232,B02512
4/1/14 7:00,40.69902625,-73.99508656,B02512
4/1/14 7:00,40.75810291,-73.92194767,B02512
4/1/14 7:01,40.76801837,-73.91911372,B02512
4/1/14 7:02,40.7676841,-73.98965257,B02512
4/1/14 7:02,40.77099005,-73.86597256,B02512
4/1/14 7:03,40.78078799,-73.94873774,B02512
